instruction,english,hindi
Please provide the Hindi translation for the following sentence:,Caustic soda,दाहक सोडा
How would you say this in Hindi?,Centrifuge,अपकेंद्रित्र
Convert the given sentence into Hindi:,Ceramics,भृत्तका शिल्प
What is the Hindi equivalent of this sentence?,Chain reaction,शृंखला अभिक्रिया
Translate this sentence into Hindi:,Charcoal,"लकड़ी का कोयला, चारकोल"
Provide the Hindi version of the following:,Chelate,कीलेट
How do you translate this sentence to Hindi?,Chemical bond,रासायनिक बंध
Rewrite the following in Hindi:,Chemiluminescence,रासायनिक स्फुरदीप्ति
Hindi translation of this sentence is required:,Chirality,कीरेलिटी
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Chlorination,क्लोरीनीकरण
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Chromatography,वर्णलेखन
Is vaakya ko Hindi mein kaise kahenge?,Clathrate,जालकवत
Diya gaya vaakya Hindi mein badlein:,Clays,चिकनी मिट्टी
Is vaakya ka Hindi samanarth kya hai?,Cleavage,विदलन
Is vaakya ko Hindi mein anuvaad karein:,Coagulation,स्कंदन
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Coenzyme,सहएंजाइम
Is vaakya ko Hindi mein kaise translate karenge?,Coinage metals,मुद्राधातु
Neeche likha gaya vaakya Hindi mein likhein:,Coke,कोक
Is vaakya ka Hindi translation pradaan karein:,Colligative properties,अपुसंख्य गुणधर्म
Translate the following sentence to Hindi:,Collimator,समांतरित
Please provide the Hindi translation for the following sentence:,Colloid,कोलाइड
How would you say this in Hindi?,Column chromatography,स्तंभ वर्णलेखन
Convert the given sentence into Hindi:,Combustion,दहन
What is the Hindi equivalent of this sentence?,Complex,संकर
Translate this sentence into Hindi:,Component,घटक
Provide the Hindi version of the following:,Compound,यौगिक
How do you translate this sentence to Hindi?,Concentration,सान्द्रण
Rewrite the following in Hindi:,Condensation,संघनन
Hindi translation of this sentence is required:,Conducting polymer,चालक बहुलक
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Conductomeric titration,चालकतामूलक अनुमापन
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Configuration,विन्यास
Is vaakya ko Hindi mein kaise kahenge?,Conformation,संपुष्टि
Diya gaya vaakya Hindi mein badlein:,Continuous spectrum,सतत वर्णक्रम
Is vaakya ka Hindi samanarth kya hai?,Coordinate bond,उपसहसंयोजी बंध
Is vaakya ko Hindi mein anuvaad karein:,Coordination number,समन्वय संख्या
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Copolymerization,सहबहुलीकरण
Is vaakya ko Hindi mein kaise translate karenge?,Corrosion,संक्षारण
Neeche likha gaya vaakya Hindi mein likhein:,Coupling,युग्मन
Is vaakya ka Hindi translation pradaan karein:,Covalent bond,सहसंयोजी आबंध
Translate the following sentence to Hindi:,Covalent radius,सहसंयोजी त्रिज्या
Please provide the Hindi translation for the following sentence:,Cracking,चटकना
How would you say this in Hindi?,Cracking of oil,भंजन
Convert the given sentence into Hindi:,Critical point,क्रांतिक बिन्दु
What is the Hindi equivalent of this sentence?,Cross linkage,आड़ी कड़ी
Translate this sentence into Hindi:,Crude oil,कच्चा तेल
Provide the Hindi version of the following:,Crystal/Crystalline,"क्रिस्टल, क्रिस्टलीय,रवेदार"
How do you translate this sentence to Hindi?,Cupellation,क्यूपेलीकरण
Rewrite the following in Hindi:,Cyclic compound,चक्रीय यौगिक
Hindi translation of this sentence is required:,Cyclisation,चक्रीकरण
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Cyclohexane,साइक्लोहेक्सेन
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Dectivation,निष्क्रियकरण
Is vaakya ko Hindi mein kaise kahenge?,Decomposition,अपघटन
Diya gaya vaakya Hindi mein badlein:,Decripitation,"चटक भंजन,कड़कड़न,कड़कड़ाहट"
Is vaakya ka Hindi samanarth kya hai?,Defect,"दोष, त्रुटि, क्षति, कमी"
Is vaakya ko Hindi mein anuvaad karein:,Degenerate,अपभ्रष्ट होना
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Degradation,"निम्नीकरण, तलावचन, अवकर्षण"
Is vaakya ko Hindi mein kaise translate karenge?,Degree of freedom,"स्वातंत्र्य कोटि, स्वतंत्रता की कोटि"
Neeche likha gaya vaakya Hindi mein likhein:,Dehydration,निर्जलीकरण
Is vaakya ka Hindi translation pradaan karein:,Deliquescent,प्रस्वेदी
Translate the following sentence to Hindi:,Delocalization,अस्थानीकरण
Please provide the Hindi translation for the following sentence:,Denaturation,"विकृतिकरण, गुणनाशन"
How would you say this in Hindi?,Density,घनत्व
Convert the given sentence into Hindi:,Depolaenizer,विध्रुवक
What is the Hindi equivalent of this sentence?,Depolarization,विध्रुवन
Translate this sentence into Hindi:,Depression of freezing point,हिमांक अवनमन
Provide the Hindi version of the following:,Desiccation,जलशुष्कन
How do you translate this sentence to Hindi?,Destructive distillation,भंजक आसवन
Rewrite the following in Hindi:,Detergents,अपमार्जक
Hindi translation of this sentence is required:,Deuterated compound,ड्यूटरित यौगिक
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Diagonal relationship,विकर्ण सबंध
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Diamagnetism,प्रतिचुंबकत्व
Is vaakya ko Hindi mein kaise kahenge?,Diatomic,द्विपरमाणुक
Diya gaya vaakya Hindi mein badlein:,Diazotization,डाइएजोरीकरण
Is vaakya ka Hindi samanarth kya hai?,Diffusion,विसरण
Is vaakya ko Hindi mein anuvaad karein:,Dilute,तनु
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Dimer,द्वितय
Is vaakya ko Hindi mein kaise translate karenge?,Dimorphism,द्विरूपता
Neeche likha gaya vaakya Hindi mein likhein:,Dipole moment,द्विध्रुव आघूर्ण
Is vaakya ka Hindi translation pradaan karein:,Disaccharides,डाइसैकेराइड
Translate the following sentence to Hindi:,Dispersed phase,परिक्षेपित प्रावस्था
Please provide the Hindi translation for the following sentence:,Disproportionation,असमानुपातन
How would you say this in Hindi?,Dissociation,वियोजन
Convert the given sentence into Hindi:,Donor,दाता
What is the Hindi equivalent of this sentence?,Doping,"मादन, अपमिश्रण"
Translate this sentence into Hindi:,Double bond,द्वि-आबंध
Provide the Hindi version of the following:,Double salt,द्वि-लोन
How do you translate this sentence to Hindi?,Dry cell,शुष्क कोश
Rewrite the following in Hindi:,Dye,रंजक
Hindi translation of this sentence is required:,Efficiency,दक्षता
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Efflorescence,उत्फुल्लन
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Elastomer,प्रत्यास्थलक
Is vaakya ko Hindi mein kaise kahenge?,Electrochemical equivalent,विद्युतरासायनिक तुल्यांक
Diya gaya vaakya Hindi mein badlein:,Electrochemical series,विद्युतरासायनिक श्रेणी
Is vaakya ka Hindi samanarth kya hai?,Electro chemistry,विद्युतरासायनिकी
Is vaakya ko Hindi mein anuvaad karein:,Electrode,विद्युदग्र
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Electrode position,विद्युदग्र स्थिति
Is vaakya ko Hindi mein kaise translate karenge?,Electrode potential,विद्युदग्र विभव
Neeche likha gaya vaakya Hindi mein likhein:,Electrolysis,विद्युत-अपघटन
Is vaakya ka Hindi translation pradaan karein:,Electrolyte,विद्युत-अपघट्य
Translate the following sentence to Hindi:,Electron affinity,विद्युदणु बन्धुता
Please provide the Hindi translation for the following sentence:,Electron diffraction,विद्युदणु विवर्तन
How would you say this in Hindi?,Electro negativity,"विद्युतॠणात्मक, ॠणविद्युती"
Convert the given sentence into Hindi:,Electronic transition,इलेक्ट्रानिक संक्रमण
What is the Hindi equivalent of this sentence?,Electron pair,विद्युदणु युग्म
Translate this sentence into Hindi:,Electrophilic,विद्युदणु-स्नेही
Provide the Hindi version of the following:,Electrophilic addition,विद्युदणुस्नेही योग
How do you translate this sentence to Hindi?,Electrophilic substitution,विद्युदणुस्नेही प्रतिस्थापन
Rewrite the following in Hindi:,Electroplating,विद्युत-लेपन
Hindi translation of this sentence is required:,Electrovalent bond,वैद्युतसंयोजक बंध
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Element,तत्व
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Elimination reaction,निराकरण क्रियाएँ
Is vaakya ko Hindi mein kaise kahenge?,Elution,क्षालन
Diya gaya vaakya Hindi mein badlein:,Emission reaction,उत्सर्जन स्पेक्ट्रम
Is vaakya ka Hindi samanarth kya hai?,Empirical formula,मूलानुपाती सूत्र
Is vaakya ko Hindi mein anuvaad karein:,Emulsion,"पायस, इमल्शन"
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Enantiomer,प्रतिबिंब
Is vaakya ko Hindi mein kaise translate karenge?,Enantiotropy,उत्क्रम्यरूपिता
Neeche likha gaya vaakya Hindi mein likhein:,Endothermic,ऊष्माशोषी
Is vaakya ka Hindi translation pradaan karein:,End point,अंत बिंदु
Translate the following sentence to Hindi:,Energy,ऊर्जा
Please provide the Hindi translation for the following sentence:,Energy level,ऊर्जा-स्तर
How would you say this in Hindi?,Energy profile,ऊर्जा-परिच्छेदिका
Convert the given sentence into Hindi:,Enzyme,एन्जाइम
What is the Hindi equivalent of this sentence?,Epimerism,एपीमेरिसम
Translate this sentence into Hindi:,Epoxide,इपॉक्साइड
Provide the Hindi version of the following:,Equilibrium,साम्यावस्था
How do you translate this sentence to Hindi?,Equivalent weight,तुल्यांकी भार
Rewrite the following in Hindi:,Esterification,एस्टरीकरण
Hindi translation of this sentence is required:,Eutectic,गलनक्रांतिक
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Evaporation,वाष्पीकरण
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Excited state,उत्तेजित अवस्था
Is vaakya ko Hindi mein kaise kahenge?,Exclusion principle,अपवर्जन सिद्धान्त
Diya gaya vaakya Hindi mein badlein:,Exothermic,ऊष्माक्षेपी
Is vaakya ka Hindi samanarth kya hai?,Explosive,विस्फोटिक
Is vaakya ko Hindi mein anuvaad karein:,Fermentation,किण्वन
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Filter,"फिल्टर, निस्यंदक"
Is vaakya ko Hindi mein kaise translate karenge?,Filtration,"फिल्टरन, निस्यंदन"
Neeche likha gaya vaakya Hindi mein likhein:,Fine structure,सूक्ष्म संरचना
Is vaakya ka Hindi translation pradaan karein:,Flash photolysis,स्फुर प्रकाशी अपघटन
Translate the following sentence to Hindi:,Flash point,स्फुरांक
Please provide the Hindi translation for the following sentence:,Fluidization,"तरलन, तरलीभवन"
How would you say this in Hindi?,Fluorescence,प्रतिदीप्ती
Convert the given sentence into Hindi:,Fluor-spar,फ्लुओर-स्पार
What is the Hindi equivalent of this sentence?,Fractional distillation,प्रभाजी आसवन
Translate this sentence into Hindi:,Free energy,मुक्त ऊर्जा
Provide the Hindi version of the following:,Free radical,मुक्त मूलक
How do you translate this sentence to Hindi?,Freezing point,हिमांक
Rewrite the following in Hindi:,Froth flotation,फेन प्लवन
Hindi translation of this sentence is required:,Fusion(melting),संलयन
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Galvanizing,यशद-लेपन
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Gaugue,"गेज, प्रमापी"
Is vaakya ko Hindi mein kaise kahenge?,Gas chromatography,"गैस वर्णलेखिकी, गैस क्रोमैटोग्राफी"
Diya gaya vaakya Hindi mein badlein:,Gas constant,गैस नियतांक
Is vaakya ka Hindi samanarth kya hai?,Gram equivalent,ग्राम-तुल्यांक
Is vaakya ko Hindi mein anuvaad karein:,Granulation,कणिकायन
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Gravimetric analysis,भारात्मक विश्लेषण
Is vaakya ko Hindi mein kaise translate karenge?,Ground state,"आद्य अवस्था, निम्नतम अवस्था"
Neeche likha gaya vaakya Hindi mein likhein:,Gun cotton,गन काटन
Is vaakya ka Hindi translation pradaan karein:,Gun metal,गन मेटल
Translate the following sentence to Hindi:,Gun powder,बारूद
Please provide the Hindi translation for the following sentence:,Gypsum,जिप्सम
How would you say this in Hindi?,Halogenation,हैलोजनीकरण
Convert the given sentence into Hindi:,Hardening,"कठोरण, दृढ़ीकरण"
What is the Hindi equivalent of this sentence?,Hardness,कठोरता
Translate this sentence into Hindi:,Hard water,कठोर जल
Provide the Hindi version of the following:,Heat,ऊष्मा
How do you translate this sentence to Hindi?,Heat of atomisation,कणीकरण ऊष्मा
Rewrite the following in Hindi:,Heat of combustion,दहन ऊष्मा
Hindi translation of this sentence is required:,Heat of crystallisation,क्रिस्टलन ऊष्मा
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Heat of dissociation,वियोजन ऊष्मा
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Heat of neutralisation,उदासीनीकरण ऊष्मा
Is vaakya ko Hindi mein kaise kahenge?,Heavy water,"भारी जल, गुरू जल"
Diya gaya vaakya Hindi mein badlein:,Heterogenous,विषमांग
Is vaakya ka Hindi samanarth kya hai?,Heterolytic fission,विषमांश विखंडन
Is vaakya ko Hindi mein anuvaad karein:,Homologous,सजात
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Homolytic fission,समांश विखंडन
Is vaakya ko Hindi mein kaise translate karenge?,Hydrate,हाइड्रेट
Neeche likha gaya vaakya Hindi mein likhein:,Hydration,जलयोजन
Is vaakya ka Hindi translation pradaan karein:,Hydrolysis,जल-अपघटन
Translate the following sentence to Hindi:,Hygroscopic,आर्द्रताग्राही
Please provide the Hindi translation for the following sentence:,Hyperfine structure,अतिसूक्ष्म संरचना
How would you say this in Hindi?,Ideal gas,आदर्श गैस
Convert the given sentence into Hindi:,Indicator,सूचक
What is the Hindi equivalent of this sentence?,Inductive effect,प्रेरणिक प्रभाव
Translate this sentence into Hindi:,Inert gases,अक्रिय गैसें
Provide the Hindi version of the following:,Infrared,अवरक्त
How do you translate this sentence to Hindi?,Inhibitor,निरोधी
Rewrite the following in Hindi:,Insoluble,अविलेय
Hindi translation of this sentence is required:,Instrumentation,यंत्रीय
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Intercalation compound,अंतर्निवेशन यौगिक
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Intermolecular,अंतरा-अणुक
Is vaakya ko Hindi mein kaise kahenge?,Internal energy,आंतरिक ऊर्जा
Diya gaya vaakya Hindi mein badlein:,Interstitial,अंतराकाशी
Is vaakya ka Hindi samanarth kya hai?,Immersion,निमज्जन
Is vaakya ko Hindi mein anuvaad karein:,Ion exchange,आयन विनिमय
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Ionic crystal,आयनी क्रिस्टल
Is vaakya ko Hindi mein kaise translate karenge?,Ionic radius,आयनिक त्रिज्या
Neeche likha gaya vaakya Hindi mein likhein:,Ionization,आयनन
Is vaakya ka Hindi translation pradaan karein:,Isomer,समावयवी
Translate the following sentence to Hindi:,Isomerism,समावयवता
Please provide the Hindi translation for the following sentence:,Isoelectric,समविभव
How would you say this in Hindi?,Isomorphism,समाकृतिका
Convert the given sentence into Hindi:,Isotherm,समताप रेखा
What is the Hindi equivalent of this sentence?,Isotones,समन्यूट्रानिक
Translate this sentence into Hindi:,Isotopes,समस्थानिक
Provide the Hindi version of the following:,Jacket,जैकेट
How do you translate this sentence to Hindi?,Jack screw,जैक पेंच
Rewrite the following in Hindi:,Jelly roll,जेली रोल
Hindi translation of this sentence is required:,Kinetic theory,अणुगतिक सिद्धांत
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Label,लेबल
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Labile,परिवर्ती
Is vaakya ko Hindi mein kaise kahenge?,Lamp black,काजल
Diya gaya vaakya Hindi mein badlein:,Lanthanide's,लैन्थानोएड्स
Is vaakya ka Hindi samanarth kya hai?,Abiogenesis,अजीवात् जनन
Is vaakya ko Hindi mein anuvaad karein:,Abiotic,अजैविक
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Absorption,अवशोषण
Is vaakya ko Hindi mein kaise translate karenge?,Acellular,अकोशिकीय
Neeche likha gaya vaakya Hindi mein likhein:,Adaptation,अनुकूलन
Is vaakya ka Hindi translation pradaan karein:,Algae,शैवाल
Translate the following sentence to Hindi:,Anabolism,उपचय
Please provide the Hindi translation for the following sentence:,Anaerobic,अवायवीय
How would you say this in Hindi?,Androecium,पुमंग
Convert the given sentence into Hindi:,Angiosperm,आवृतबीजी
What is the Hindi equivalent of this sentence?,Anther,परागकोश
Translate this sentence into Hindi:,Antibiotic,प्रतिजैविक
Provide the Hindi version of the following:,Artery,धमनी
How do you translate this sentence to Hindi?,Assimilation,स्वांगीकरण
Rewrite the following in Hindi:,Auricle,आलिंद
Hindi translation of this sentence is required:,Bacteria,जीवाणु
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Bark,छाल
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Behavior,व्यवहार
Is vaakya ko Hindi mein kaise kahenge?,Biennial,द्विवर्षीय
Diya gaya vaakya Hindi mein badlein:,Bilateral,द्विपार्श्विक
Is vaakya ka Hindi samanarth kya hai?,Binocular vision,द्विनेत्री दृष्टि
Is vaakya ko Hindi mein anuvaad karein:,Binomial nomenclature,द्विपद-नाम पद्धति
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Bioaccumulation,जैवसंचयन
Is vaakya ko Hindi mein kaise translate karenge?,Biochemistry,जैवरसायन
Neeche likha gaya vaakya Hindi mein likhein:,Biodegradable,जैवनिम्नीकरण
Is vaakya ka Hindi translation pradaan karein:,Biodiversity,जैवविविधता
Translate the following sentence to Hindi:,Biogenesis,जीवात् जनन
Please provide the Hindi translation for the following sentence:,Blood,रक्त
How would you say this in Hindi?,Blood pressure,रक्त चाप
Convert the given sentence into Hindi:,Bone marrow,अस्थि मज्जा
What is the Hindi equivalent of this sentence?,Brain stem,मस्तिष्क स्तम्भ
Translate this sentence into Hindi:,Cambium,एधा
Provide the Hindi version of the following:,Cell,कोशिका
How do you translate this sentence to Hindi?,Cell division,कोशिका विभाजन
Rewrite the following in Hindi:,Cell wall,कोशिका भित्ति
Hindi translation of this sentence is required:,Central nervous system,केन्द्रीय तन्त्रिका तन्त्र
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Centriole,तारक केन्द्र
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Centrosome,तारक काय
Is vaakya ko Hindi mein kaise kahenge?,Cerebellum,अनुमस्तिष्क
Diya gaya vaakya Hindi mein badlein:,Cerebral cortex,प्रमस्तिष्क वल्कुट
Is vaakya ka Hindi samanarth kya hai?,Cerebral hemisphere,प्रमस्तिष्क गोलार्द्ध
Is vaakya ko Hindi mein anuvaad karein:,Cerebrospinal fluid,प्रमस्तिष्कमेरु द्रव
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Cerebrum,प्रमस्तिष्क
Is vaakya ko Hindi mein kaise translate karenge?,Chordate,रज्जुकी संघ
Neeche likha gaya vaakya Hindi mein likhein:,Chromosome,गुणसूत्र
Is vaakya ka Hindi translation pradaan karein:,Classification,वर्गीकरण
Translate the following sentence to Hindi:,Connective tissue,संयोजी ऊतक
Please provide the Hindi translation for the following sentence:,Cytoplasm,कोशिका द्रव्य
How would you say this in Hindi?,Deciduous,पर्णपाती
Convert the given sentence into Hindi:,Deciduous teeth,पातीदन्त
What is the Hindi equivalent of this sentence?,Decomposition,अपघटन
Translate this sentence into Hindi:,Dicotyledon,द्विबीजपत्री
Provide the Hindi version of the following:,Digestion,पाचन
How do you translate this sentence to Hindi?,Diploid,द्विगुणित
Rewrite the following in Hindi:,Disease,रोग
Hindi translation of this sentence is required:,Diurnal,दिवाचर
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,D.N.A.,डी ऑक्सी राइबो न्यूक्लिक एसिड
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Ecology,पारिस्थितिकी
Is vaakya ko Hindi mein kaise kahenge?,Ecosystem,पारिस्थितिकी तंत्र
Diya gaya vaakya Hindi mein badlein:,Embryo,भ्रूण
Is vaakya ka Hindi samanarth kya hai?,Embryology,भ्रूणविज्ञान
Is vaakya ko Hindi mein anuvaad karein:,Endocrine gland,अन्तःस्त्रावी ग्रन्थि
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Endoparasite,अन्तःपरजीवी
Is vaakya ko Hindi mein kaise translate karenge?,Endoplasmic reticulum,अन्तर्द्रव्यी जालिका
Neeche likha gaya vaakya Hindi mein likhein:,Evolution,विकास
Is vaakya ka Hindi translation pradaan karein:,Excretion,उत्सर्जन
Translate the following sentence to Hindi:,Fat,वसा
Please provide the Hindi translation for the following sentence:,Fauna,प्राणिजात
How would you say this in Hindi?,Fertilization,निषेचन
Convert the given sentence into Hindi:,Fibre,"रेशा, तन्तु"
What is the Hindi equivalent of this sentence?,Flora,वनस्पतिजात
Translate this sentence into Hindi:,Fossil,जीवाश्म
Provide the Hindi version of the following:,Fungi,कवक
How do you translate this sentence to Hindi?,Gall bladder,पित्ताशय
Rewrite the following in Hindi:,Galgi body,गाल्गीकाय
Hindi translation of this sentence is required:,Gamete,युग्मक
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Gametogenesis,युग्मक जनन
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Gametophyte,युग्मकोद्भिद्
Is vaakya ko Hindi mein kaise kahenge?,Gender,लिंङ्ग
Diya gaya vaakya Hindi mein badlein:,Gene,जीन
Is vaakya ka Hindi samanarth kya hai?,Genus,वंश
Is vaakya ko Hindi mein anuvaad karein:,Germination,अंकुरण
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Gymnosperm,अनावृतबीजी
Is vaakya ko Hindi mein kaise translate karenge?,Gynoecium,जायांग
Neeche likha gaya vaakya Hindi mein likhein:,Habitat,आवास
Is vaakya ka Hindi translation pradaan karein:,Habituation,वासस्थान
Translate the following sentence to Hindi:,Halophyte,लवणमृदोद्भिद्
Please provide the Hindi translation for the following sentence:,Haploid,अगुणित
How would you say this in Hindi?,Heredity,आनुवांशिक
Convert the given sentence into Hindi:,Homeostasis,समस्थापन
What is the Hindi equivalent of this sentence?,Hybridization,संकरण
Translate this sentence into Hindi:,Hypocotyls,बीजपत्राधार
Provide the Hindi version of the following:,Hypodermis,अधस्त्वक
How do you translate this sentence to Hindi?,Hypothalamus,"हाइपोथैलेमस, अधश्चेतक"
Rewrite the following in Hindi:,Immunity,प्रतिरक्षा
Hindi translation of this sentence is required:,Immunization,प्रतिरक्षीकरण
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Immunology,प्रतिरक्षा विज्ञान
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Impulse,आवेग
Is vaakya ko Hindi mein kaise kahenge?,Incubation,ऊष्मायन
Diya gaya vaakya Hindi mein badlein:,Inflorescence,पुष्पवृन्त
Is vaakya ka Hindi samanarth kya hai?,Inheritance,वंशागति
Is vaakya ko Hindi mein anuvaad karein:,Intestine,आन्त्र
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Invertebrate,अकशेरुकी
Is vaakya ko Hindi mein kaise translate karenge?,Involuntary,अनैच्छिक
Neeche likha gaya vaakya Hindi mein likhein:,Jaw,जबड़ा
Is vaakya ka Hindi translation pradaan karein:,Joint,सन्धि
Translate the following sentence to Hindi:,Juvenile,"बाल, किशोर"
Please provide the Hindi translation for the following sentence:,Karyotype,"केन्द्रक प्ररूप, गुणसूत्र प्ररुप"
How would you say this in Hindi?,Kidney,वृक्क
Convert the given sentence into Hindi:,Larva,डिंभ
What is the Hindi equivalent of this sentence?,Larynx,कंठ
Translate this sentence into Hindi:,Leaf,पर्ण
Provide the Hindi version of the following:,Lichen,शैक
How do you translate this sentence to Hindi?,Ligament,स्नायु
Rewrite the following in Hindi:,Linkage,सहलग्नता
Hindi translation of this sentence is required:,Lipid,लिपि़ड
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Living fossil,सजीव जीवाश्म
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Lymph,लसीका
Is vaakya ko Hindi mein kaise kahenge?,Lysosome,"लाइसोसोम, लयनकाय"
Diya gaya vaakya Hindi mein badlein:,Male,नर
Is vaakya ka Hindi samanarth kya hai?,Mastication,चर्वण
Is vaakya ko Hindi mein anuvaad karein:,Maturation,परिपक्वन
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Meiosis,अर्धसूत्री विभाजन
Is vaakya ko Hindi mein kaise translate karenge?,Membrane,कला
Neeche likha gaya vaakya Hindi mein likhein:,Mesentery,आंत्रसंयोजी
Is vaakya ka Hindi translation pradaan karein:,Mesocarp,मध्यफल भित्ति
Translate the following sentence to Hindi:,Mesoderm,मध्यजनस्तर
Please provide the Hindi translation for the following sentence:,Metabolism,उपापचय
How would you say this in Hindi?,Metamorphosis,कायान्तरण
Convert the given sentence into Hindi:,Microbe,रोगाणु
What is the Hindi equivalent of this sentence?,Microfossil,सूक्ष्म जीवाश्म
Translate this sentence into Hindi:,Mitosis,"सूत्रीविभाजन, समसूत्रण"
Provide the Hindi version of the following:,Monocot,एकबीजपत्री
How do you translate this sentence to Hindi?,Morphology,आकारिकी
Rewrite the following in Hindi:,Muscle,पेशी
Hindi translation of this sentence is required:,Mutation,उत्परिवर्तन
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Myopia,निकट दृष्टि दोष
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Necrosis,ऊतकक्षय
Is vaakya ko Hindi mein kaise kahenge?,Nectar,मकरंद
Diya gaya vaakya Hindi mein badlein:,Nerve,तन्त्रिका
Is vaakya ka Hindi samanarth kya hai?,Nerve cord,तन्त्रिका रज्जु
Is vaakya ko Hindi mein anuvaad karein:,Neuron,तन्त्रिका कोशिका
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Notochord,पृष्ठरज्जु
Is vaakya ko Hindi mein kaise translate karenge?,Nucleus,केन्द्रक
Neeche likha gaya vaakya Hindi mein likhein:,Nutrition,पाचन
Is vaakya ka Hindi translation pradaan karein:,Nymph,"निम्फ, अर्भक"
Translate the following sentence to Hindi:,Oesophagus,"ग्रसिका, ग्रासनली"
Please provide the Hindi translation for the following sentence:,Ooecium,भ्रूणधानी
How would you say this in Hindi?,Oogamy,विषमयुग्मता
Convert the given sentence into Hindi:,Oogenesis,अंडजनन
What is the Hindi equivalent of this sentence?,Oral,मुखीय
Translate this sentence into Hindi:,Organism,जीव
Provide the Hindi version of the following:,Osmoregulation,परासरणनियमन
How do you translate this sentence to Hindi?,Osmosis,परासरण
Rewrite the following in Hindi:,Ovary,अण्डाशय
Hindi translation of this sentence is required:,Oviparous,अण्डज
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Ovule,बीजांड
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Ovum,अण्डाणु
Is vaakya ko Hindi mein kaise kahenge?,Oxidation,"आक्सीकरण, उपचयन"
Diya gaya vaakya Hindi mein badlein:,Paedogenesis,शावकीजनन
Is vaakya ka Hindi samanarth kya hai?,Pancreas,अग्न्याशय
Is vaakya ko Hindi mein anuvaad karein:,Parasympathetic nervous system,परानुकंपी तंत्रिका तंत्र
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Parthenogenesis,अनिषेकजनन
Is vaakya ko Hindi mein kaise translate karenge?,Perennial,बहुवर्षीय
Neeche likha gaya vaakya Hindi mein likhein:,Perianth,परिदल पुंज
Is vaakya ka Hindi translation pradaan karein:,Petal,"दल, पंखुड़ी"
Translate the following sentence to Hindi:,Petaloid,दलाभ
Please provide the Hindi translation for the following sentence:,Petrification,अश्मीभवन
